도로명,도로폭,도로길이,교차로수,위도,경도
창신길,5,1082,0,37.5759026,127.00994509999998
창의문로12길,6,189,0,37.5941958,126.9646595
평창24길,5,267,0,37.6080484,126.9765817
창신6길,5,339,0,37.575752,127.0114028
종로63라길,4,12,0,37.5746282,127.0172598
돈화문로10가길,1,17,0,37.5730186,126.992824
율곡로19길,8,70,0,37.5765136,127.0058631
종로46가길,2,22,0,37.570913700000006,127.0118572
창경궁로33길,6,321,0,37.585015500000004,126.99892849999999
비봉길,9,1391,0,37.61406160000001,126.95523840000001
진흥로22나길,4,212,0,37.60721289999999,126.9563056
낙산1길,4,156,0,37.5810107,127.0054374
옥인1길,5,187,0,37.580937799999994,126.96730520000001
충신4길,2,53,0,37.5752767,127.00809309999998
진흥로,3,129,0,37.608177500000004,126.9560297
평창11길,9,1071,0,37.6100231,126.9667856
삼일대로,3,88,0,37.5691356,126.98818759999999
혜화로6길,7,32,0,37.5892032,127.0013051
종로52길,3,97,0,37.5711331,127.01369540000002
자하문로5가길,3,19,0,37.5781356,126.9706563
자하문로6길,5,94,0,37.5777508,126.9730916
율곡로,4,28,0,37.574136200000005,127.0062522
돈화문로11가길,4,530,0,37.57483,126.99057579999999
율곡로10길,6,568,0,37.5750495,126.9914295
북악산로,10,2840,0,37.602057099999996,126.9784375
북촌로11길,5,613,0,37.582930600000005,126.9841977
지봉로11길,0,11,0,37.577168900000004,127.0139004
성균관로17길,7,373,0,37.5906131,126.9978146
청계천로,4,35,0,37.5689567,126.9973736
율곡로1길,2,23,0,37.578131400000004,126.98100079999999
수표로18길,3,154,0,37.5693074,126.9903896
낙산4길,6,298,0,37.5789061,127.00712060000001
북촌로5나길,2,38,0,37.584303600000005,126.9825347
경희궁3가길,2,14,0,37.57335870000001,126.9672702
경교장1길,6,199,0,37.5681492,126.9651727
북촌로,4,130,0,37.579557,126.98430640000001
송월길,4,18,0,37.569091,126.96584779999999
율곡로1길,3,24,0,37.5780099,126.981381
백석동1가길,5,47,0,37.594437799999994,126.9680791
옥인3길,4,87,0,37.580503799999995,126.96628079999999
종로50나길,4,132,0,37.570402,127.01335379999999
대학로11길,10,35,0,37.5821016,127.0006807
창덕궁길,4,95,0,37.578763,126.98866470000002
돈화문로6나길,2,26,0,37.571797100000005,126.9933259
종로44길,7,46,0,37.5705201,127.013888
경교장1길,4,23,0,37.5686186,126.9649676
계동길,2,24,0,37.5803394,126.9870854
성균관로16길,6,244,0,37.5887717,126.99878190000001
동숭3길,3,12,0,37.582159600000004,127.0050376
사직로7길,4,251,0,37.574670899999994,126.9656943
보문로1길,6,185,0,37.576240399999996,127.022636
혜화로12길,4,12,0,37.589701399999996,127.0007014
지봉로17길,2,31,0,37.57958,127.013847
자하문로23길,8,257,0,37.5837031,126.9693757
옥인길,3,24,0,37.5818576,126.96472539999999
옥인길,2,10,0,37.580919,126.96727279999999
자하문로28길,4,43,0,37.5857982,126.97189679999998
자하문로30길,7,145,0,37.5854948,126.97062140000001
창의문로10길,6,285,0,37.5937112,126.96481010000001
효자로13길,5,328,0,37.58279,126.9723547
평창31길,4,51,0,37.610915000000006,126.97565970000001
창경궁로,3,47,0,37.575422100000004,126.9972085
명륜9길,5,206,0,37.5907808,126.99367020000001
창덕궁5길,3,55,0,37.58371339999999,126.9888441
창경궁로16길,10,42,0,37.5741025,126.99878629999999
평창길,7,153,0,37.6123609,126.96841380000001
종로58길,7,303,0,37.572292100000006,127.01823130000001
지봉로10길,2,34,0,37.5760794,127.0164356
명륜3길,2,105,0,37.5888112,126.9939385
자하문로10길,2,13,0,37.5791472,126.97206240000001
통일로12가길,3,13,0,37.5738226,126.95951409999998
세검정로6다길,5,38,0,37.6015843,126.9627697
옥인1길,4,16,0,37.5812825,126.9675935
자하문로5길,2,14,0,37.5777569,126.9710987
옥인1길,4,8,0,37.5808294,126.9679203
자하문로42길,3,53,0,37.5991657,126.96265359999998
필운대로1길,1,12,0,37.5777924,126.9684148
필운대로3길,2,9,0,37.5784375,126.9683987
자하문로1길,2,14,0,37.5763889,126.9708851
성균관로,10,12,0,37.5881223,126.9972064
창의문로9길,3,46,0,37.5928719,126.9633966
비봉5길,2,27,0,37.6140966,126.9538571
창의문로9길,3,13,0,37.5925061,126.96242450000001
자하문로,3,16,0,37.5967694,126.9642497
자하문로,3,47,0,37.576378600000005,126.97225929999999
계동길,2,62,0,37.581252299999996,126.986645
세검정로7가길,4,25,0,37.6019289,126.95920690000001
세검정로7길,4,11,0,37.6025304,126.96071880000001
동숭길,2,34,0,37.5811078,127.0044021
대학로2길,4,41,0,37.571742900000004,127.0056892
평창길,4,66,0,37.61508370000001,126.9761111
평창문화로,5,84,0,37.60744570000001,126.9728514
평창14길,3,55,0,37.6091989,126.96649550000001
북촌로,20,29,0,37.585548100000004,126.9855632
평창40길,5,87,0,37.6157662,126.97834250000001
평창문화로,4,22,0,37.6065883,126.9719
삼청로7길,1,19,0,37.583504,126.98081409999999
이화장1나길,1,44,0,37.577873,127.0078882
자하문로9길,3,20,0,37.579398100000006,126.9710074
청계천로,1,43,0,37.56984620000001,127.00530790000002
창신5마길,4,101,0,37.575133,127.0141807
종로32길,4,58,0,37.570144299999995,127.00139990000001
청계천로,2,17,0,37.5694117,126.99668020000001
삼일대로26길,6,169,0,37.5733369,126.9886375
충신6길,1,13,0,37.5765571,127.0070348
낙산길,1,30,0,37.580726299999995,127.0061625
명륜10길,1,9,0,37.5906604,126.992174
명륜10길,2,19,0,37.591158899999996,126.9925885
창경궁로34길,12,69,0,37.58391629999999,127.00084820000001
율곡로10길,2,36,0,37.5740137,126.99180359999998
명륜3길,2,18,0,37.5895619,126.9924994
성균관로7길,1,9,0,37.58733370000001,126.99539309999999
율곡로8길,2,30,0,37.5763365,126.990908
인왕산로1가길,3,9,0,37.5735485,126.9635039
자하문로1길,2,13,0,37.577369700000006,126.96980659999998
혜화로3가길,3,174,0,37.5868348,126.99833819999999
창경궁로26길,1,12,0,37.581764899999996,126.9998815
창덕궁길,1,44,0,37.579605900000004,126.98906389999999
필운대로,3,63,0,37.580394299999995,126.9683261
우정국로,30,40,0,37.573541799999994,126.9830914
자하문로36길,3,16,0,37.5901011,126.9683179
창신길,3,62,0,37.5731884,127.0103477
대학로7길,6,113,0,37.57905770000001,127.0016269
자하문로43길,2,19,0,37.5984908,126.9607142
자하문로13길,1,10,0,37.580364700000004,126.9705477
사직로12길,2,17,0,37.575182500000004,126.9714094
창신길,2,36,0,37.5771649,127.00937649999999
성균관로,10,79,0,37.5839201,126.99734840000002
삼청로,3,40,0,37.5808876,126.9804007
비봉2길,4,36,0,37.613688,126.9593774
자하문로12길,3,9,0,37.58013820000001,126.97192009999999
낙산2길,1,26,0,37.5807652,127.0059703
창신길,2,26,0,37.5792402,127.00923970000001
율곡로5길,3,102,0,37.5767685,126.9849541
낙산3길,6,52,0,37.5799945,127.0064098
종로3길,2,34,0,37.5716461,126.9794337
창의문로9길,3,24,0,37.5926637,126.9630105
북촌로15길,4,42,0,37.5858271,126.98408059999998
종로8길,9,169,0,37.5694346,126.98400490000002
삼일대로,2,56,0,37.5741906,126.9878833
평창길,6,137,0,37.6160953,126.97624909999999
창신길,4,53,0,37.5753973,127.0109972
평창길,4,70,0,37.61328889999999,126.97864340000001
종로57길,8,42,0,37.5735886,127.0167875
평창3길,4,47,0,37.6072668,126.96377140000001
보문로1길,2,21,0,37.576603799999994,127.0225483
창경궁로11길,2,36,0,37.569905299999995,126.99706880000001
경희궁2길,5,68,0,37.5730195,126.97079099999999
북촌로,3,66,0,37.582666100000004,126.9852683
경희궁1길,3,82,0,37.5709177,126.9712129
창신길,3,36,0,37.57731629999999,127.009355
돈화문로5가길,5,205,0,37.5716951,126.99151100000002
세검정로,2,89,0,37.6009096,126.9609135
동순라길,8,679,0,37.5733857,126.99627720000001
자하문로12길,2,21,0,37.5798347,126.97241799999999
자하문로10길,1,14,0,37.579293799999995,126.97202379999999
서순라길,2,15,0,37.575582,126.9913071
종로40길,17,160,0,37.570379100000004,127.0067355
자하문로33길,7,13,0,37.5866192,126.9660375
옥인3길,5,24,0,37.580375200000006,126.965608
창신5길,4,48,0,37.574700299999996,127.0132625
자하문로,1,36,0,37.582691499999996,126.9707933
비봉5길,4,94,0,37.6133431,126.95473059999999
인사동길,12,47,0,37.574276399999995,126.98418290000001
율곡로25길,2,73,0,37.575162299999995,127.0067898
이화장1길,4,69,0,37.5777401,127.00543300000001
명륜3길,1,48,0,37.5890739,126.99361940000001
팔판길,1,8,0,37.5830465,126.9809226
